url,theme,urlCategories,urlCategories,urlCategories,generalStatus
http://www.anonymizer.com,Internet Tools,ANON,,,BLOCKED
http://www.ultimate-anonymity.com,Internet Tools,ANON,,,BLOCKED
http://danteam.com,Internet Tools,BLGSERV,,,BLOCKED
http://www.ph-store.com,Internet Tools,COMM,,,BLOCKED
http://dcemail.com,Internet Tools,EMAIL,,,BLOCKED
http://bravo-pass.com,Internet Tools,GRP,,,BLOCKED
http://ceriwis.us,Internet Tools,GRP,,,BLOCKED
http://forums.sawomatang.net,Internet Tools,GRP,,,BLOCKED
http://passvipclub.com,Internet Tools,GRP,,,BLOCKED
http://theoldtigersden.com,Internet Tools,GRP,,,BLOCKED
http://www.gajahnungging.com,Internet Tools,GRP,,,BLOCKED
http://www.secondlife.com,Internet Tools,GRP,GAME,,BLOCKED
http://neworder.box.sk,Internet Tools,HACK,,,BLOCKED
http://www.grabit.to,Internet Tools,HACK,,,BLOCKED
http://ceritacerita.com,Internet Tools,HOST,,,BLOCKED
http://thetend.com,Internet Tools,MMED,,,BLOCKED
http://crito.jw.lt,Political,FEXP,,,BLOCKED
http://www.freespeech.org,Political,FEXP,,,BLOCKED
http://www.freespeechcoalition.com,Political,FEXP,,,BLOCKED
http://www.mahasiswaonline.info,Political,FEXP,,,BLOCKED
http://www.warungbebas.com,Political,FEXP,,,BLOCKED
http://indonbodoh.blogspot.com,Political,POLR,,,BLOCKED
http://beritamuslim.wordpress.com,Political,REL,,,BLOCKED
http://exmuslim.wordpress.com,Political,REL,,,BLOCKED
http://komiknabimuhammad.blogspot.com,Political,REL,,,BLOCKED
http://kostenlose-toplisten.de,Political,REL,,,BLOCKED
http://muhammadture.com,Political,REL,,,BLOCKED
http://thequran.com,Political,REL,,,BLOCKED
http://trulyislam.blogspot.com,Political,REL,,,BLOCKED
http://guerrillagirls.com,Political,WOMR,,,BLOCKED
http://hightimes.com,Social,ALDR,,,BLOCKED
http://www.beer.com,Social,ALDR,,,BLOCKED
http://www.budweiser.com,Social,ALDR,,,BLOCKED
http://adultfriendfinder.com,Social,DATE,,,BLOCKED
http://worldsingles.com,Social,DATE,,,BLOCKED
http://www.date.com,Social,DATE,,,BLOCKED
http://www.datingdirect.com,Social,DATE,,,BLOCKED
http://www.online-dating.org,Social,DATE,,,BLOCKED
http://www.spark.com,Social,DATE,,,BLOCKED
http://9nagatangkas.com,Social,GAME,,,BLOCKED
http://zheg.nastie.co.uk,Social,GAME,,,BLOCKED
http://www.bglad.com,Social,GAYL,,,BLOCKED
http://www.bisexual.org,Social,GAYL,,,BLOCKED
http://www.gay.com,Social,GAYL,DATE,,BLOCKED
http://www.gayegypt.com,Social,GAYL,,,BLOCKED
http://www.gayhealth.com,Social,GAYL,,,BLOCKED
http://www.glbtq.com,Social,GAYL,,,BLOCKED
http://www.glil.org,Social,GAYL,,,BLOCKED
http://www.ifge.org,Social,GAYL,,,BLOCKED
http://www.lesbian.org,Social,GAYL,,,BLOCKED
http://www.queernet.org,Social,GAYL,,,BLOCKED
http://www.samesexmarriage.ca,Social,GAYL,,,BLOCKED
http://www.towleroad.com,Social,GAYL,,,BLOCKED
http://www.tsroadmap.com,Social,GAYL,,,BLOCKED
http://bolanaga.com,Social,GMB,,,BLOCKED
http://bolauntung.com,Social,GMB,,,BLOCKED
http://bolazoom.com,Social,GMB,,,BLOCKED
http://fifabola.com,Social,GMB,,,BLOCKED
http://indolucky7.com,Social,GMB,,,BLOCKED
http://pasarbola2.com,Social,GMB,,,BLOCKED
http://taruhan.org,Social,GMB,,,BLOCKED
http://www.aceshigh.com,Social,GMB,,,BLOCKED
http://www.agenbola.com,Social,GMB,,,BLOCKED
http://www.agent234.com,Social,GMB,,,BLOCKED
http://www.indoagen.com,Social,GMB,,,BLOCKED
http://www.pokerstars.com,Social,GMB,,,BLOCKED
http://www.slotland.com,Social,GMB,,,BLOCKED
http://godhatesfags.com,Social,HATE,REL,,BLOCKED
http://dewajudi.net,Social,MISC,,,BLOCKED
http://rajatangkas.com,Social,MISC,,,BLOCKED
http://www.bmezine.com,Social,MISC,,,BLOCKED
http://8thstreetlatinas.com,Social,PORN,,,BLOCKED
http://beeg.com,Social,PORN,MMED,,BLOCKED
http://bravotube.net,Social,PORN,,,BLOCKED
http://coolgaylinks.com,Social,PORN,,,BLOCKED
http://famousnudes.com,Social,PORN,,,BLOCKED
http://gayonthenet.net,Social,PORN,,,BLOCKED
http://hardsextube.com,Social,PORN,,,BLOCKED
http://hotgaylist.com,Social,PORN,,,BLOCKED
http://manhub.com,Social,PORN,,,BLOCKED
http://milfhunter.com,Social,PORN,,,BLOCKED
http://pornhub.com,Social,PORN,MMED,,BLOCKED
http://redtube.com,Social,PORN,MMED,,BLOCKED
http://rockettube.com,Social,PORN,,,BLOCKED
http://spankwire.com,Social,PORN,MMED,,BLOCKED
http://www.89.com,Social,PORN,,,BLOCKED
http://www.amateurpages.com,Social,PORN,,,BLOCKED
http://www.ashemaletube.com,Social,PORN,,,BLOCKED
http://www.asianangels.com,Social,PORN,,,BLOCKED
http://www.babylon-x.com,Social,PORN,,,BLOCKED
http://www.crazyshit.com,Social,PORN,,,BLOCKED
http://www.cultoferotica.com,Social,PORN,MISC,,BLOCKED
http://www.cutegirlfriend.net,Social,PORN,,,BLOCKED
http://www.erogeschichten.com,Social,PORN,,,BLOCKED
http://www.famouspornstars.com,Social,PORN,,,BLOCKED
http://www.femalestars.com,Social,PORN,,,BLOCKED
http://www.freegaypornfinder.com,Social,PORN,,,BLOCKED
http://www.fuckingfreemovies.com,Social,PORN,,,BLOCKED
http://www.gotgayporn.com,Social,PORN,,,BLOCKED
http://www.hereistheporn.com,Social,PORN,,,BLOCKED
http://www.hustler.com,Social,PORN,,,BLOCKED
http://www.livejasmin.com,Social,PORN,MMED,,BLOCKED
http://www.milfbangvideos.com,Social,PORN,,,BLOCKED
http://www.mujeres59.com.ar,Social,PORN,MISC,,BLOCKED
http://www.penisbot.com,Social,PORN,,,BLOCKED
http://www.penthouse.com,Social,PORN,,,BLOCKED
http://www.persiankitty.com,Social,PORN,,,BLOCKED
http://www.playboy.com,Social,PORN,,,BLOCKED
http://www.purenudism.net,Social,PORN,,,BLOCKED
http://www.purextc.com,Social,PORN,,,BLOCKED
http://www.sex.com,Social,PORN,PROV,,BLOCKED
http://www.sexy-geschichten.at,Social,PORN,,,BLOCKED
http://www.simplygay.com,Social,PORN,,,BLOCKED
http://www.wetplace.com,Social,PORN,,,BLOCKED
http://www.worldsex.com,Social,PORN,,,BLOCKED
http://www.xxxemovie.info,Social,PORN,MISC,,BLOCKED
http://www.youngerbabes.com,Social,PORN,,,BLOCKED
http://xhamster.com,Social,PORN,MMED,,BLOCKED
http://xvideos.com,Social,PORN,MMED,,BLOCKED
http://youjizz.com,Social,PORN,,,BLOCKED
http://beritapanasselebritis.blogspot.com,Social,PROV,,,BLOCKED
http://novel4u.com,Social,PROV,,,BLOCKED
http://profilselebryti.blogspot.com,Social,PROV,,,BLOCKED
http://www.2cutelingerie.com,Social,PROV,,,BLOCKED
http://www.3wishes.com,Social,PROV,,,BLOCKED
http://www.bodylingerie.com,Social,PROV,,,BLOCKED
http://www.chantelle.com,Social,PROV,,,BLOCKED
http://www.coquette.com,Social,PROV,,,BLOCKED
http://www.flirtylingerie.com,Social,PROV,,,BLOCKED
http://www.fotoartis.in,Social,PROV,,,BLOCKED
http://www.lingeriebowl.com,Social,PROV,,,BLOCKED
http://www.panties.com,Social,PROV,,,BLOCKED
http://www.trashy.com,Social,PROV,,,BLOCKED
http://www.altpenis.com,Social,PUBH,,,BLOCKED
http://www.breastenlargementmagazine.com,Social,PUBH,,,BLOCKED
http://www.implantinfo.com,Social,PUBH,,,BLOCKED
http://teenadvice.about.com,Social,XED,,,BLOCKED
http://www.familiesaretalking.org,Social,XED,,,BLOCKED
http://www.itsyoursexlife.com,Social,XED,,,BLOCKED
http://www.positive.org,Social,XED,,,BLOCKED
http://www.premaritalsex.info,Social,XED,,,BLOCKED
http://www.sfsi.org,Social,XED,,,BLOCKED
